JobID,JobName,Start,End,Elapsed,ReqMem,MaxRSS,ReqCPUS,NCPUS,CPUTime,CPUTimeRAW,Partition,ExitCode,State
4258498.batch,batch,2025-12-16T22:26:00,2025-12-16T22:37:38,00:11:38,,20927144K,10,10,01:56:20,6980,,0:0,COMPLETED
4258499,abyss-short_BS05_360_328-3_IL50x,2025-12-16T22:26:00,2025-12-16T22:40:15,00:14:15,100G,,10,10,02:22:30,8550,general,0:0,COMPLETED
4258499.batch,batch,2025-12-16T22:26:00,2025-12-16T22:40:15,00:14:15,,24094660K,10,10,02:22:30,8550,,0:0,COMPLETED
4258500,abyss-short_BS05_360_328-3_IL60x,2025-12-16T22:27:01,2025-12-16T22:43:50,00:16:49,100G,,10,10,02:48:10,10090,general,0:0,COMPLETED
4258500.batch,batch,2025-12-16T22:27:01,2025-12-16T22:43:50,00:16:49,,23488880K,10,10,02:48:10,10090,,0:0,COMPLETED
4258501,abyss-short_BS05_360_328-3_IL75x,2025-12-16T22:27:01,2025-12-16T22:47:10,00:20:09,100G,,10,10,03:21:30,12090,general,0:0,COMPLETED
4258501.batch,batch,2025-12-16T22:27:01,2025-12-16T22:47:10,00:20:09,,31180188K,10,10,03:21:30,12090,,0:0,COMPLETED
4258502,abyss-short_BS05_360_328-3_IL100x,2025-12-16T22:27:32,2025-12-16T22:54:38,00:27:06,100G,,10,10,04:31:00,16260,general,0:0,COMPLETED
4258502.batch,batch,2025-12-16T22:27:32,2025-12-16T22:54:38,00:27:06,,34881764K,10,10,04:31:00,16260,,0:0,COMPLETED
4258512,abyss-short_BS05_CNT_273-5_IL75x,2025-12-16T22:30:35,2025-12-16T23:01:20,00:30:45,100G,,10,10,05:07:30,18450,general,0:0,COMPLETED
4258512.batch,batch,2025-12-16T22:30:35,2025-12-16T23:01:20,00:30:45,,41765160K,10,10,05:07:30,18450,,0:0,COMPLETED
4258513,abyss-short_BS05_CNT_273-5_IL100x,2025-12-16T22:31:00,2025-12-16T23:11:16,00:40:16,100G,,10,10,06:42:40,24160,jrw0107_std,0:0,COMPLETED
4258513.batch,batch,2025-12-16T22:31:00,2025-12-16T23:11:16,00:40:16,,50855412K,10,10,06:42:40,24160,,0:0,COMPLETED
